date,coverage,day.type
6/10/2014,31,undefined
6/11/2014,100,Non
6/12/2014,100,NPF
6/13/2014,100,Non
6/14/2014,100,NPF
6/15/2014,92,Non
6/16/2014,99,NPF
6/17/2014,97,Non
6/18/2014,93,NPF
6/19/2014,100,Non
6/20/2014,100,Non
6/21/2014,100,Non
6/22/2014,100,NPF
6/23/2014,100,Non
6/24/2014,100,Non
6/25/2014,29,undefined
6/26/2014,100,Non
6/27/2014,100,NPF
6/28/2014,100,Non
6/29/2014,100,Non
6/30/2014,100,NPF
7/1/2014,100,Non
7/2/2014,100,Non
7/3/2014,100,Non
7/4/2014,39,undefined
,,
12/21/2014,43,undefined
12/22/2014,100,Non
12/23/2014,100,Non
12/24/2014,100,Non
12/25/2014,59,Non
12/26/2014,39,undefined
12/27/2014,100,Non
12/28/2014,100,Non
12/29/2014,100,Non
12/30/2014,100,NPF
12/31/2014,99,Non
1/1/2015,100,Non
1/2/2015,100,Non
1/3/2015,100,NPF
1/4/2015,100,Non
1/5/2015,98,Non
1/6/2015,100,NPF
1/7/2015,100,NPF
1/8/2015,98,Non
1/9/2015,100,Non
1/10/2015,100,Non
1/11/2015,43,undefined
,,
4/23/2016,17,undefined
4/24/2016,100,NPF
4/25/2016,100,NPF
4/26/2016,100,NPF
4/27/2016,79,Non
4/28/2016,100,Non
4/29/2016,100,Non
4/30/2016,100,NPF
5/1/2016,100,NPF
5/2/2016,100,Non
5/3/2016,99,Non
5/4/2016,100,NPF
5/5/2016,100,NPF
5/6/2016,98,NPF
5/7/2016,90,NPF
5/8/2016,100,NPF
5/9/2016,95,Non
5/10/2016,100,Non
5/11/2016,100,Non
5/12/2016,99,NPF
5/13/2016,77,Non
5/14/2016,100,Non
5/15/2016,100,Non
5/16/2016,99,NPF
5/17/2016,95,NPF
5/18/2016,1,undefined
,,
5/18/2015,97,Non
5/19/2015,100,Non
5/20/2015,100,NPF
5/21/2015,100,Non
5/22/2015,97,NPF
5/23/2015,100,Non
5/24/2015,100,NPF
5/25/2015,99,NPF
5/26/2015,100,NPF
5/27/2015,100,NPF
5/28/2015,100,NPF
5/29/2015,98,NPF
5/30/2015,100,Non
5/31/2015,100,Non
6/1/2015,98,Non
6/2/2015,100,Non
6/3/2015,100,NPF
6/4/2015,100,Non
6/5/2015,98,Non
6/6/2015,100,Non
6/7/2015,100,NPF
6/8/2015,99,Non
6/9/2015,100,Non
6/10/2015,100,Non
6/11/2015,99,Non
6/12/2015,100,Non
6/13/2015,44,undefined
,,
6/2/2021,27,undefined
6/3/2021,100,Non
6/4/2021,100,NPF
6/5/2021,100,Non
6/6/2021,100,Non
6/7/2021,100,Non
6/8/2021,100,Non
6/9/2021,100,NPF
6/10/2021,100,NPF
6/11/2021,100,Non
6/12/2021,100,Non
6/13/2021,100,Non
6/14/2021,100,Non
6/15/2021,100,Non
6/16/2021,100,NPF
6/17/2021,100,Non
6/18/2021,100,Non
6/19/2021,100,Non
6/20/2021,100,Non
6/21/2021,100,NPF
6/22/2021,100,Non
6/23/2021,100,Non
6/24/2021,100,Non
6/25/2021,100,Non
6/26/2021,100,NPF
6/27/2021,100,Non
6/28/2021,44,undefined
6/29/2021,0,undefined
6/30/2021,0,undefined
7/1/2021,0,undefined
7/2/2021,0,undefined
7/3/2021,0,undefined
7/4/2021,0,undefined
7/5/2021,58,Non
7/6/2021,100,Non
7/7/2021,100,Non
7/8/2021,100,Non
7/9/2021,100,NPF
7/10/2021,100,Non
7/11/2021,100,Non
7/12/2021,100,Non
7/13/2021,100,NPF
7/14/2021,100,NPF
7/15/2021,100,NPF
7/16/2021,100,Non
7/17/2021,89,Non
